Central,Recurso,Punto_de_ medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,DBO5,17/05/2021 19:07,0,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,DQO,17/05/2021 19:07,0,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,Color real,17/05/2021 19:07,0,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,Hierro,17/05/2021 19:07,1.7,
Mazar,Agua potable,Casa_de_máquinas_cafetería,770448,9716202,Anual,NTE INEN_1108,Turbiedad,17/05/2021 19:07,0.7,
Mazar,Agua potable,Planta_de_tratamiento _arenales,770542,9716201,Anual,NTE INEN_1108,Coliformes fecales,17/05/2021 12:45,1.1,
Mazar,Agua potable,Planta_de_tratamiento _arenales,770542,9716201,Anual,NTE INEN_1108,DBO5,17/05/2021 12:45,0,
Mazar,Agua potable,Planta_de_tratamiento _arenales,770542,9716201,Anual,NTE INEN_1108,DQO,17/05/2021 12:45,0,
Mazar,Agua potable,Planta_de_tratamiento _arenales,770542,9716201,Anual,NTE INEN_1108,Color real,17/05/2021 12:45,0,
Mazar,Agua potable,Planta_de_tratamiento _arenales,770542,9716201,Anual,NTE INEN_1108,Hierro,17/05/2021 12:45,1.7,
Mazar,Agua potable,Planta_de_tratamiento _arenales,770542,9716201,Anual,NTE INEN_1108,Turbiedad,17/05/2021 12:45,0.7,
Mazar,Agua potable,Baño_Cocina,770478,9716233,Anual,NTE INEN_1108,Coliformes fecales,17/05/2021 19:30,1.1,
Mazar,Agua potable,Baño_Cocina,770478,9716233,Anual,NTE INEN_1108,DBO5,17/05/2021 19:30,0,
Mazar,Agua potable,Baño_Cocina,770478,9716233,Anual,NTE INEN_1108,DQO,17/05/2021 19:30,0,
Mazar,Agua potable,Baño_Cocina,770478,9716233,Anual,NTE INEN_1108,Color real,17/05/2021 19:30,0,
Mazar,Agua potable,Baño_Cocina,770478,9716233,Anual,NTE INEN_1108,Hierro,17/05/2021 19:30,1.7,
Mazar,Agua potable,Baño_Cocina,770478,9716233,Anual,NTE INEN_1108,Turbiedad,17/05/2021 19:30,0.7,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,Coliformes fecales,17/05/2021 20:00,1.1,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,DBO5,17/05/2021 20:00,0,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,DQO,17/05/2021 20:00,0,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,Color real,17/05/2021 20:00,0,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,Hierro,17/05/2021 20:00,1.7,
Mazar,Agua potable,Villa_21,770528,9716193,Anual,NTE INEN_1108,Turbiedad,17/05/2021 20:00,0.7,
Molino,Agua potable,Planta_de_agua_potable,777949,9714137,Semestral,NTE INEN_1108,Color real,19/03/2018 15:20,26,
Molino,Agua potable,Planta_de_agua_potable,777949,9714137,Semestral,NTE INEN_1108,Turbiedad,19/03/2018 15:20,0.22,
Molino,Agua potable,Planta_de_agua_potable,777949,9714137,Semestral,NTE INEN_1108,DBO5,19/03/2018 15:20,1.98,
Molino,Agua potable,Planta_de_agua_potable,777949,9714137,Semestral,NTE INEN_1108,DQO,19/03/2018 15:20,3.18,
Molino,Agua potable,Planta_de_agua_potable,777949,9714137,Semestral,NTE INEN_1108,Coliformes fecales,19/03/2018 15:20,1,
Molino,Agua potable,Cocina,777681,9714646,Semestral,NTE INEN_1108,Color real,20/03/2018 16:30,23,
Molino,Agua potable,Cocina,777681,9714646,Semestral,NTE INEN_1108,Turbiedad,20/03/2018 16:30,0.22,
Molino,Agua potable,Cocina,777681,9714646,Semestral,NTE INEN_1108,DBO5,20/03/2018 16:30,1.59,
Molino,Agua potable,Cocina,777681,9714646,Semestral,NTE INEN_1108,DQO,20/03/2018 16:30,3.74,
Molino,Agua potable,Cocina,777681,9714646,Semestral,NTE INEN_1108,Coliformes fecales,20/03/2018 16:30,1,
Molino,Agua potable,Villa,777938,9714322,Semestral,NTE INEN_1108,Color real,20/03/2018 16:42,30,
Molino,Agua potable,Villa,777938,9714322,Semestral,NTE INEN_1108,Turbiedad,20/03/2018 16:42,0.21,
Molino,Agua potable,Villa,777938,9714322,Semestral,NTE INEN_1108,DBO5,20/03/2018 16:42,1.32,
Molino,Agua potable,Villa,777938,9714322,Semestral,NTE INEN_1108,DQO,20/03/2018 16:42,2.57,
Molino,Agua potable,Villa,777938,9714322,Semestral,NTE INEN_1108,Coliformes fecales,20/03/2018 16:42,1,
Molino,Agua potable,Barrio_misceláneos,777602,9714718,Semestral,NTE INEN_1108,Color real,20/03/2018 16:18,30,
Molino,Agua potable,Barrio_misceláneos,777602,9714718,Semestral,NTE INEN_1108,Turbiedad,20/03/2018 16:18,0.21,
Molino,Agua potable,Barrio_misceláneos,777602,9714718,Semestral,NTE INEN_1108,DBO5,20/03/2018 16:18,1.14,
Molino,Agua potable,Barrio_misceláneos,777602,9714718,Semestral,NTE INEN_1108,DQO,20/03/2018 16:18,1.98,
Molino,Agua potable,Barrio_misceláneos,777602,9714718,Semestral,NTE INEN_1108,Coliformes fecales,20/03/2018 16:18,1,
Molino,Agua potable,Casa_de_máquinas,771733,9714477,Semestral,NTE INEN_1108,Color real,20/03/2018 15:42,32,
Molino,Agua potable,Casa_de_máquinas,771733,9714477,Semestral,NTE INEN_1108,Turbiedad,20/03/2018 15:42,0.79,
Molino,Agua potable,Casa_de_máquinas,771733,9714477,Semestral,NTE INEN_1108,DBO5,20/03/2018 15:42,1.26,
Molino,Agua potable,Casa_de_máquinas,771733,9714477,Semestral,NTE INEN_1108,DQO,20/03/2018 15:42,2.1,
Molino,Agua potable,Casa_de_máquinas,771733,9714477,Semestral,NTE INEN_1108,Coliformes fecales,20/03/2018 15:42,30.9,
Molino,Agua potable,Taller_automotriz,777492,9714606,Semestral,NTE INEN_1108,Color real,20/03/2018 16:07,34,
Molino,Agua potable,Taller_automotriz,777492,9714606,Semestral,NTE INEN_1108,Turbiedad,20/03/2018 16:07,0.18,
Molino,Agua potable,Taller_automotriz,777492,9714606,Semestral,NTE INEN_1108,DBO5,20/03/2018 16:07,1.44,
Molino,Agua potable,Taller_automotriz,777492,9714606,Semestral,NTE INEN_1108,DQO,20/03/2018 16:07,2.05,
Molino,Agua potable,Taller_automotriz,777492,9714606,Semestral,NTE INEN_1108,Coliformes fecales,20/03/2018 16:07,1,
Molino,Agua potable,Edificio_control,776877,9714976,Semestral,NTE INEN_1108,Color real,20/03/2018 15:25,24,
Molino,Agua potable,Edificio_control,776877,9714976,Semestral,NTE INEN_1108,Turbiedad,20/03/2018 15:25,0.88,
Molino,Agua potable,Edificio_control,776877,9714976,Semestral,NTE INEN_1108,DBO5,20/03/2018 15:25,1.53,
Molino,Agua potable,Edificio_control,776877,9714976,Semestral,NTE INEN_1108,DQO,20/03/2018 15:25,2.97,
Molino,Agua potable,Edificio_control,776877,9714976,Semestral,NTE INEN_1108,Coliformes fecales,20/03/2018 15:25,1,
Molino,Agua potable,Cafetería_casa_de_máquinas 2,777173,9714477,Anual,NTE INEN_1108,Color real,26/12/2018 0:00,1,
Molino,Agua potable,Cafetería_casa_de_máquinas 2,777173,9714477,Anual,NTE INEN_1108,Turbiedad,26/12/2018 0:00,0.95,
Molino,Agua potable,Cafetería_casa_de_máquinas 2,777173,9714477,Anual,NTE INEN_1108,DBO5,26/12/2018 0:00,2,
Molino,Agua potable,Cafetería_casa_de_máquinas 2,777173,9714477,Anual,NTE INEN_1108,DQO,26/12/2018 0:00,4,
Molino,Agua potable,Cafetería_casa_de_máquinas 2,777173,9714477,Anual,NTE INEN_1108,Coliformes fecales,26/12/2018 0:00,1,
Molino,Agua potable,Cafetería_casa_de_máquinas 2,777173,9714477,Anual,NTE INEN_1108,Hierro,26/12/2018 0:00,0.25,
Molino,Agua potable,Planta_de_agua_potable,777949,9714137,Anual,NTE INEN_1108,Color real,26/12/2018 0:00,1,
Molino,Agua potable,Planta_de_agua_potable,777949,9714137,Anual,NTE INEN_1108,Turbiedad,26/12/2018 0:00,0.1,
Molino,Agua potable,Planta_de_agua_potable,777949,9714137,Anual,NTE INEN_1108,DBO5,26/12/2018 0:00,2,
