Central,Recurso,Punto_de_ medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Molino,Agua de rio,Unión con el pulpito    ,770537,9717190,Anual,Acuerdo_ministerial 97a_tabla 2,Turbiedad,28/12/2018 0:00,19.7,
Molino,Agua de rio,Unión con el pulpito    ,770537,9717190,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,28/12/2018 0:00,13,
Molino,Agua de rio,Unión con el pulpito    ,770537,9717190,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,28/12/2018 0:00,29,
Molino,Agua de rio,Unión con el pulpito    ,770537,9717190,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,28/12/2018 0:00,65.7,
Molino,Agua de rio,Unión con el pulpito    ,770537,9717190,Anual,Acuerdo_ministerial 97a_tabla 2,pH,28/12/2018 0:00,6.7,
Molino,Agua de rio,Unión con el juval                                                                                                                                                                                                                               ,771516,9716931,Anual,Acuerdo_ministerial 97a_tabla 2,Turbiedad,28/12/2018 0:00,98.5,
Molino,Agua de rio,Unión con el juval                                                                                                                                                                                                                               ,771516,9716931,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,28/12/2018 0:00,10,
Molino,Agua de rio,Unión con el juval                                                                                                                                                                                                                               ,771516,9716931,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,28/12/2018 0:00,21,
Molino,Agua de rio,Unión con el juval                                                                                                                                                                                                                               ,771516,9716931,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,28/12/2018 0:00,6.3,
Molino,Agua de rio,Unión con el juval                                                                                                                                                                                                                               ,771516,9716931,Anual,Acuerdo_ministerial 97a_tabla 2,pH,28/12/2018 0:00,7,
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Anual,Acuerdo_ministerial 97a_tabla 2,Turbiedad,28/12/2018 0:00,657,
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,28/12/2018 0:00,18,
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,28/12/2018 0:00,48,
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Anual,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,28/12/2018 0:00,9.8,
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Anual,Acuerdo_ministerial 97a_tabla 2,pH,28/12/2018 0:00,7,
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,17/09/2019 15:09,6,
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,17/09/2019 15:09,10,
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Anual,Acuerdo_ministerial 97a_tabla 2,Oxígeno disuelto ,17/09/2019 15:09,10.49,
